Key	Content
LLENEMY_MessageBox_ConfirmEnemyLevelingCommit	Lock in the enemy scale? This will level up all non-player characters in the world to the the set level.<br><font color='#FF0000' size='26'>This cannot be undone.</font>
LLENEMY_DisplayText_TotalCharactersLeveled	<font color='#BBFF00' size='23'>*[1] beings gained a new level of power...*</font>
LLENEMY_StatusText_CounterAttack	<font color='#FF3737' size='23'>Counter!</font>
LLENEMY_MessageBox_SingleplayerUserWarning	<font color='#FF3737' size='23'>The EUO Singleplayer mod is active, yet the game is no longer singleplayer. Upgrade Info will not be synced for players.</font>
LLENEMY_DisplayText_MuggedGold_Target	<font color='#FF3333' size='23'>*Lost </font><font color='#C7A758' size='26'>[1]</font> <font color='#FF3333' size='23'>Gold!*</font>
LLENEMY_DisplayText_MuggedGold_Enemy	<font color='#33FF33' size='23'>*Stole </font><font color='#C7A758' size='26'>[1]</font> <font color='#33FF33' size='23'>Gold!*</font>
LLENEMY_StatusText_RageReduced	<font color='#FF3737' size='23'>Rage Reduced</font>
LLENEMY_StatusText_ImmuneToDamageOnMove	<font color='#FF3737' size='18'>Immune to Movement-Based Damage Statuses</font>
LLENEMY_StatusText_VoidlingTransformed	<font color='#73F6FF' size='26'>Empowered Evolution</font>
LLENEMY_StatusText_AtusaBossActivated	<font color='#FF3737' size='26'>*Atusa's corpse oozes to life!*</font>
LLENEMY_StatusText_SeekerDiscoveredTarget	<font color='#FF3737' size='26'>*Revealed!*</font>
LLENEMY_ShadowDuplicationName	<font color='#BF5FFF'>[1] (Shadow)</font>
LLENEMY_DisplayText_TreasureGoblins_TurnsLeft	<font color='#FF3333' size='23'>[1] Turn(s) Left</font>
LLENEMY_Notification_ShadowItem_NoCrafting	<font color='#BF5FFF' size='23'>*The otherwordly properties of this item prevent tampering.*</font>
