Key	Content
Stats_LLENEMY_Boost_Armor_5	Armor Boost
Stats_LLENEMY_Boost_Armor_10	Armor Boost
Stats_LLENEMY_Boost_Armor_15	Armor Boost
Stats_LLENEMY_Boost_Armor_20	Armor Boost
Stats_LLENEMY_Boost_Armor_25	Armor Boost
Stats_LLENEMY_Boost_Armor_30	Armor Boost
Stats_LLENEMY_Boost_Armor_35	Armor Boost
Stats_LLENEMY_Boost_Armor_40	Armor Boost
Stats_LLENEMY_Boost_Armor_45	Armor Boost
Stats_LLENEMY_Boost_Armor_50	Armor Boost
Stats_LLENEMY_Boost_Damage_5	Damage Boost
Stats_LLENEMY_Boost_Damage_10	Damage Boost
Stats_LLENEMY_Boost_Damage_15	Damage Boost
Stats_LLENEMY_Boost_Damage_20	Damage Boost
Stats_LLENEMY_Boost_Damage_25	Damage Boost
Stats_LLENEMY_Boost_MagicArmor_5	Magic Armor Boost
Stats_LLENEMY_Boost_MagicArmor_10	Magic Armor Boost
Stats_LLENEMY_Boost_MagicArmor_15	Magic Armor Boost
Stats_LLENEMY_Boost_MagicArmor_20	Magic Armor Boost
Stats_LLENEMY_Boost_MagicArmor_25	Magic Armor Boost
Stats_LLENEMY_Boost_MagicArmor_30	Magic Armor Boost
Stats_LLENEMY_Boost_MagicArmor_35	Magic Armor Boost
Stats_LLENEMY_Boost_MagicArmor_40	Magic Armor Boost
Stats_LLENEMY_Boost_MagicArmor_45	Magic Armor Boost
Stats_LLENEMY_Boost_MagicArmor_50	Magic Armor Boost
Stats_LLENEMY_Boost_Vitality_5	Vitality Boost
Stats_LLENEMY_Boost_Vitality_10	Vitality Boost
Stats_LLENEMY_Boost_Vitality_15	Vitality Boost
Stats_LLENEMY_Boost_Vitality_20	Vitality Boost
Stats_LLENEMY_Boost_Vitality_25	Vitality Boost
Stats_LLENEMY_Boost_Vitality_30	Vitality Boost
Stats_LLENEMY_Boost_Vitality_35	Vitality Boost
Stats_LLENEMY_Boost_Vitality_40	Vitality Boost
Stats_LLENEMY_Boost_Vitality_45	Vitality Boost
Stats_LLENEMY_Boost_Vitality_50	Vitality Boost
Stats_LLENEMY_ChickenOverlord	Chicken Overlord
Stats_LLENEMY_Infusion_Acid	Melter
Stats_LLENEMY_Infusion_Acid_G	Elite Melter
Stats_LLENEMY_Infusion_Blessed_Ice	Heatsapper
Stats_LLENEMY_Infusion_Blessed_Ice_G	Elite Heatsapper
Stats_LLENEMY_Infusion_Blood	Bloodbender
Stats_LLENEMY_Infusion_Blood_G	Elite Bloodbender
Stats_LLENEMY_Infusion_Cursed_Electric	Teslacoil
Stats_LLENEMY_Infusion_Cursed_Electric_G	Elite Teslacoil
Stats_LLENEMY_Infusion_Electric	Circuitbreaker
Stats_LLENEMY_Infusion_Electric_G	Elite Circuitbreaker
Stats_LLENEMY_Infusion_Fire	Firestarter
Stats_LLENEMY_Infusion_Fire_G	Elite Firestarter
Stats_LLENEMY_Infusion_Necrofire	Infernoblazer
Stats_LLENEMY_Infusion_Necrofire_G	Elite Infernoblazer
Stats_LLENEMY_Infusion_Oil	Earthcracker
Stats_LLENEMY_Infusion_Oil_G	Elite Earthcracker
Stats_LLENEMY_Infusion_Poison	Venomstriker
Stats_LLENEMY_Infusion_Poison_G	Elite Venomstriker
Stats_LLENEMY_Infusion_Power	Power Boost
Stats_LLENEMY_Infusion_Ranged	Range Boost
Stats_LLENEMY_Infusion_Shadow	Shadoweaver
Stats_LLENEMY_Infusion_Warp	Warper
Stats_LLENEMY_Infusion_Water	Cascader
Stats_LLENEMY_Infusion_Water_G	Elite Cascader
Stats_LLENEMY_LoseControlImmunity	Perfect Control
Stats_LLENEMY_PerseveranceMastery	Perseverance Mastery
Stats_LLENEMY_RangerRange	Talent: Quickdraw
Stats_LLENEMY_Talent_LightningRod	Talent: Lightning Rod
Stats_LLENEMY_Talent_NaturalConductor	Talent: Natural Conductor
Stats_LLENEMY_Talent_Quickstep	Talent: The Pawn
Stats_LLENEMY_Talent_Unstable	Talent: Unstable
Stats_LLENEMY_Talent_Weatherproof	Talent: Weatherproof
Stats_LLENEMY_Talent_BullyDamageBonus	Talent: Bully
Stats_LLENEMY_Duplicant	Shadow Duplicant
Stats_LLENEMY_BonusSkills_Source	Skilled: Sourcery
Stats_LLENEMY_Class_Default_GeoPyro	Ignitionmancer
Stats_LLENEMY_FakeDying	Dead?
Stats_LLENEMY_PiercingImmunity	Piercing Immunity
Stats_LLENEMY_VoidEmpowered	Void Empowered
Stats_LLENEMY_Rage	Rage
Stats_LLENEMY_Rage2	Rage (II)
Stats_LLENEMY_Rage3	Rage (III)
Stats_LLENEMY_Rage4	Rage (IV)
Stats_LLENEMY_Rage5	Rage (V)
Stats_LLENEMY_GatheringPower	Gathering Power
Stats_LLENEMY_Empowered	Empowered
Stats_LLENEMY_Seeker	Seeker
Stats_LLENEMY_SeekerDisabled	Seeker (Disabled)
Stats_LLENEMY_DemonicHasted	Demonic Celerity
Stats_LLENEMY_ReflectShadowSmall	Shadow Reflection
Stats_LLENEMY_ReflectShadowMedium	Shadow Reflection
Stats_LLENEMY_ReflectShadowLarge	Shadow Reflection
